id,customer_id,location_id,product_id,employee_id,date,quantity
1,274,5,1,74,2020-02-20,3
2,325,12,29,53,2019-07-03,2
3,447,11,70,52,2020-02-16,1
4,318,7,50,76,2020-04-06,7
5,225,11,48,59,2019-12-07,6
6,352,12,34,61,2019-11-20,3
7,108,10,61,65,2020-04-16,3
8,399,6,60,70,2019-11-26,4
9,191,9,59,73,2020-03-30,2
10,348,8,72,71,2019-05-17,1
11,95,7,46,80,2019-05-26,3
12,72,8,76,49,2019-08-26,1
13,45,10,69,57,2020-01-14,5
14,337,12,62,76,2020-01-05,6
15,491,9,62,70,2020-01-05,2
16,74,5,64,75,2019-12-05,3
17,484,7,55,71,2019-12-06,6
18,237,6,76,65,2019-06-10,2
19,192,9,60,45,2019-05-28,4
20,489,4,63,71,2019-06-24,2
21,511,9,56,68,2020-01-08,4
22,266,10,62,64,2020-03-17,4
23,228,8,39,74,2019-09-12,2
24,112,9,43,56,2019-06-03,2
25,364,3,55,57,2019-10-21,3
26,456,5,75,65,2019-05-19,2
27,375,9,39,79,2019-09-13,6
28,184,7,57,46,2020-03-16,1
29,457,9,35,61,2020-01-16,5
30,112,5,60,61,2020-02-23,2
31,579,7,72,65,2020-03-28,5
32,455,10,56,63,2020-02-24,3
33,133,12,79,49,2019-09-18,1
34,207,4,66,47,2019-09-24,4
35,547,5,66,75,2019-09-25,1
36,178,7,17,75,2019-09-16,2
37,212,12,59,58,2019-12-26,1
38,299,7,68,67,2019-11-20,1
39,279,7,72,72,2020-03-10,3
40,453,7,67,63,2019-06-14,5
41,451,9,8,69,2019-06-09,6
42,117,5,64,54,2019-08-27,4
43,101,7,59,68,2019-09-02,2
44,12,5,68,69,2020-02-14,2
45,111,7,71,76,2019-06-03,5
46,121,9,66,80,2019-11-08,3
47,503,8,57,52,2019-06-29,3
48,577,8,56,67,2020-04-13,4
49,229,7,61,69,2019-05-21,1
50,209,10,72,59,2020-02-08,4
51,190,4,12,74,2019-10-25,5
52,632,7,5,56,2019-10-26,1
53,234,8,57,52,2019-06-09,4
54,419,6,70,63,2019-11-24,3
55,229,7,66,77,2019-12-09,2
56,216,11,65,79,2019-06-15,2
57,464,8,59,47,2019-07-15,3
58,388,6,66,68,2019-11-03,3
59,542,10,38,77,2019-09-21,1
60,226,7,69,59,2020-01-25,2
61,290,8,66,79,2019-05-13,3
62,152,10,55,62,2019-08-08,1
63,270,8,16,60,2019-09-14,4
64,307,11,62,47,2019-11-25,6
65,93,8,67,70,2019-07-21,4
66,331,10,71,75,2019-08-23,3
67,418,5,63,72,2020-01-16,7
68,209,11,4,72,2019-05-21,2
69,227,6,69,46,2019-08-07,2
70,403,10,64,74,2019-05-11,4
71,307,9,65,76,2019-10-19,3
72,477,10,29,78,2019-09-29,1
73,516,11,61,55,2019-05-06,4
74,412,13,67,70,2019-08-24,4
75,431,6,37,77,2020-02-17,2
76,292,12,62,54,2019-10-02,3
77,619,7,22,68,2019-07-31,3
78,254,14,72,44,2020-04-16,1
79,105,8,62,77,2019-07-06,3
80,593,7,56,53,2019-05-24,1
81,326,8,59,63,2019-07-15,1
82,117,7,70,71,2019-08-17,2
